"enochian","title","english","pronounciation","planet/element","tarot","gematria"
"A","Un","A","ah","taurus","hierophant",6
"B","Pe","B","beh","aries","star",5
"C","Veh","C,K","co","fire","judgement",300
"D","Gal","D","deh","spirit","empress",4
"E","Graph","E","ee","virgo","hermit",10
"F","Orth","F","eff","Cauda Draonis","juggler",3
"G","Ged","G","gee","cancer","chariot",8
"H","Na-hath","H","heh","air","fool",1
"I","Gon","I,Y,J","ee","sagittarius","temperance",60
"L","Ur","L","el, leh","cancer","charit",8
"M","Tal","M","em","aquarius","emperor",90
"N","Drun","N","en","scorpio","death",50
"O","Med","O","oh","libra","justice",30
"P","Mals","P","peh","leo","strength",9
"Q","Ger","Q","quo","water","hanged man",40
"R","Don","R","reh, ar","pesces","moon",100
"S","Fam","S","she, ess","gemini","lovers",7
"T","Gisa","T","teh","leo","strength",9
"V","Vau","U,V,W","vaa","capricorn","devil",70
"X","Pal","X","s, tz","earth","universe",400
"Z","Ceph","Z","zod, zee","leo","strength",9
